,name,type.id,type.name
136,ALGOL (ALGOrithmic Language),ST1,Specialized Skill
137,ALM Octane,ST1,Specialized Skill
138,ALMSA (Assisted Living Software),ST1,Specialized Skill
139,ALT Linux,ST1,Specialized Skill
140,ALTernate Queueing (ALTQ),ST1,Specialized Skill
141,ALWD Citation Manual,ST1,Specialized Skill
142,AMD Catalyst,ST1,Specialized Skill
143,AMD CrossFireX,ST1,Specialized Skill
144,AME Accounting Software,ST1,Specialized Skill
145,AMPAC,ST1,Specialized Skill
146,AMPL,ST1,Specialized Skill
147,AMPScript,ST1,Specialized Skill
148,AMS Device Management,ST1,Specialized Skill
149,AMT Asset Management Software,ST1,Specialized Skill
150,AMX Programming,ST1,Specialized Skill
151,AN/PRC-148 Multiband Inter/Intra Team Radio (MBITR),ST1,Specialized Skill
152,ANSI C,ST1,Specialized Skill
153,ANSI Escape Codes (Computer Standards),ST1,Specialized Skill
154,ANSI/ANS Standards,ST1,Specialized Skill
155,ANSI/ASME Y14.1 Standards,ST1,Specialized Skill
156,ANSI/TIA/EIA,ST1,Specialized Skill
157,ANSYS IcePak (Simulation Software),ST1,Specialized Skill
158,ANSYS Meshing,ST1,Specialized Skill
159,ANTLR,ST1,Specialized Skill
160,AOLserver,ST1,Specialized Skill
161,AP Stylebook,ST1,Specialized Skill
162,APA Ethics Code,ST1,Specialized Skill
163,APC Smart-UPS,ST1,Specialized Skill
164,API Design,ST1,Specialized Skill
165,API Gateway,ST1,Specialized Skill
166,API Management,ST1,Specialized Skill
167,API Oil-Water Separator,ST1,Specialized Skill
168,API Writer,ST1,Specialized Skill
169,APL (Programming Language),ST1,Specialized Skill
170,APPX (Runtime Environment),ST1,Specialized Skill
171,AQtime,ST1,Specialized Skill
172,AR System Administration,ST1,Specialized Skill
173,ARC Macro Language,ST1,Specialized Skill
174,ARCore,ST1,Specialized Skill
175,ARCserve Backup Solutions,ST1,Specialized Skill
176,AREMOS,ST1,Specialized Skill
177,ARINC Standards,ST1,Specialized Skill
178,ARISg,ST1,Specialized Skill
179,ARKit,ST1,Specialized Skill
180,ARM Architecture,ST1,Specialized Skill
181,ARM Architecture Microprocessors,ST1,Specialized Skill
182,ARM Microarchitectures,ST1,Specialized Skill
183,ARM7 Architecture,ST1,Specialized Skill
184,ARM9 Architecture,ST1,Specialized Skill
185,ARMulator,ST1,Specialized Skill
186,ARP4761,ST1,Specialized Skill
187,ARPACK,ST1,Specialized Skill
188,ARToolKit,ST1,Specialized Skill
189,AS2,ST1,Specialized Skill
190,AS4 Conformance Profile,ST1,Specialized Skill
191,ASARS-2 Radar System,ST1,Specialized Skill
192,ASC 340,ST1,Specialized Skill
193,ASC 606 (Revenue Recognition),ST1,Specialized Skill
194,ASC 740 (Accounting For Income Taxes),ST1,Specialized Skill
195,ASC 842 (Lease Accounting Standard),ST1,Specialized Skill
196,ASC X12 Standards,ST1,Specialized Skill
197,ASIC Programming Language,ST1,Specialized Skill
198,ASME Boiler And Pressure Vessel Code (BPVC),ST1,Specialized Skill
199,ASP.NET,ST1,Specialized Skill
200,ASP.NET Core,ST1,Specialized Skill
201,ASP.NET Core MVC,ST1,Specialized Skill
202,ASP.NET Extensions For AJAX,ST1,Specialized Skill
203,ASP.NET Fundamentals,ST1,Specialized Skill
204,ASP.NET Identity,ST1,Specialized Skill
205,ASP.NET MVC 5,ST1,Specialized Skill
206,ASP.NET MVC Framework,ST1,Specialized Skill
207,ASP.NET Razor,ST1,Specialized Skill
